# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-07-05 18:11:40 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50059000 LAGO LOIZA AT DAMSITE NR TRUJILLO ALTO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50059000
#            TS   parameter     statistic     Description
#        123596       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	123596_62614_32400	123596_62614_32400_cd
USGS	50059000	2015-01-25	133.74	A
USGS	50059000	2015-01-26	133.67	A
USGS	50059000	2015-01-27	133.60	A
USGS	50059000	2015-01-28	133.52	A
USGS	50059000	2015-01-29	133.45	A
USGS	50059000	2015-01-30	133.39	A
USGS	50059000	2015-01-31	133.59	A
USGS	50059000	2015-02-01	133.60	A
USGS	50059000	2015-02-02	133.49	A
USGS	50059000	2015-02-03	133.37	A
USGS	50059000	2015-02-04	133.24	A
USGS	50059000	2015-02-05	133.11	A
USGS	50059000	2015-02-06	133.00	A
USGS	50059000	2015-02-07	132.87	A
USGS	50059000	2015-02-08	132.71	A
USGS	50059000	2015-02-09	132.61	A
USGS	50059000	2015-02-10	132.48	A
USGS	50059000	2015-02-11	132.32	A
USGS	50059000	2015-02-12	132.15	A
USGS	50059000	2015-02-13	132.01	A
USGS	50059000	2015-02-14	132.39	A
USGS	50059000	2015-02-15	132.64	A
USGS	50059000	2015-02-16	133.85	A
USGS	50059000	2015-02-17	134.15	A
USGS	50059000	2015-02-18	134.24	A
USGS	50059000	2015-02-19	134.24	A
USGS	50059000	2015-02-20	134.19	A
USGS	50059000	2015-02-21	134.46	A
USGS	50059000	2015-02-22	134.09	A
USGS	50059000	2015-02-23	134.29	A
USGS	50059000	2015-02-24	134.38	A
USGS	50059000	2015-02-25	134.39	A
USGS	50059000	2015-02-26	134.44	A
USGS	50059000	2015-02-27	134.39	A
USGS	50059000	2015-02-28	134.35	A
USGS	50059000	2015-03-01	134.36	A
USGS	50059000	2015-03-02	134.36	A
USGS	50059000	2015-03-03	134.30	A
USGS	50059000	2015-03-04	134.27	A
USGS	50059000	2015-03-05	134.20	A
USGS	50059000	2015-03-06	134.06	A
USGS	50059000	2015-03-07	133.94	A
USGS	50059000	2015-03-08	133.81	A
USGS	50059000	2015-03-09	133.67	A
USGS	50059000	2015-03-10	133.57	A
USGS	50059000	2015-03-11	133.50	A
USGS	50059000	2015-03-12	133.48	A
USGS	50059000	2015-03-13	133.43	A
USGS	50059000	2015-03-14	133.34	A
USGS	50059000	2015-03-15	133.21	A
USGS	50059000	2015-03-16	133.53	A
USGS	50059000	2015-03-17		
USGS	50059000	2015-03-18	133.64	A
USGS	50059000	2015-03-19	133.52	A
USGS	50059000	2015-03-20	133.42	A
USGS	50059000	2015-03-21	133.33	A
USGS	50059000	2015-03-22	133.35	A
USGS	50059000	2015-03-23	133.20	A
USGS	50059000	2015-03-24	133.03	A
USGS	50059000	2015-03-25	132.94	A
USGS	50059000	2015-03-26	132.77	A
USGS	50059000	2015-03-27	132.56	A
USGS	50059000	2015-03-28	132.37	A
USGS	50059000	2015-03-29	132.14	A
USGS	50059000	2015-03-30	131.89	A
USGS	50059000	2015-03-31	131.64	A
USGS	50059000	2015-04-01	131.42	A
USGS	50059000	2015-04-02	131.43	A
USGS	50059000	2015-04-03	131.33	A
USGS	50059000	2015-04-04	131.36	A
USGS	50059000	2015-04-05	131.56	A
USGS	50059000	2015-04-06	131.49	A
USGS	50059000	2015-04-07	131.30	A
USGS	50059000	2015-04-08	131.15	A
USGS	50059000	2015-04-09	130.99	A
USGS	50059000	2015-04-10	130.74	A
USGS	50059000	2015-04-11	130.53	A
USGS	50059000	2015-04-12	130.27	A
USGS	50059000	2015-04-13	130.01	A
USGS	50059000	2015-04-14	129.89	A
USGS	50059000	2015-04-15	129.68	A
USGS	50059000	2015-04-16	129.43	A
USGS	50059000	2015-04-17	129.19	A
USGS	50059000	2015-04-18	128.97	A
USGS	50059000	2015-04-19	128.71	A
USGS	50059000	2015-04-20	128.49	A
USGS	50059000	2015-04-21	128.17	A
USGS	50059000	2015-04-22	127.87	A
USGS	50059000	2015-04-23	127.57	A
USGS	50059000	2015-04-24	127.25	A
USGS	50059000	2015-04-25	126.92	A
USGS	50059000	2015-04-26	126.58	A
USGS	50059000	2015-04-27	126.24	A
USGS	50059000	2015-04-28	125.88	A
USGS	50059000	2015-04-29	125.53	A
USGS	50059000	2015-04-30	125.11	A
USGS	50059000	2015-05-01	124.72	A
USGS	50059000	2015-05-02	124.37	A
USGS	50059000	2015-05-03	123.99	A
USGS	50059000	2015-05-04	123.61	A
USGS	50059000	2015-05-05	123.23	A
USGS	50059000	2015-05-06	122.77	A
USGS	50059000	2015-05-07	122.34	A
USGS	50059000	2015-05-08	121.91	A
USGS	50059000	2015-05-09	121.46	A
USGS	50059000	2015-05-10	121.00	A
USGS	50059000	2015-05-11	120.66	A
USGS	50059000	2015-05-12	120.22	A
USGS	50059000	2015-05-13	119.88	A
USGS	50059000	2015-05-14	119.68	A
USGS	50059000	2015-05-15	119.51	A
USGS	50059000	2015-05-16	119.41	A
USGS	50059000	2015-05-17	121.26	A
USGS	50059000	2015-05-18	121.58	A
USGS	50059000	2015-05-19	121.52	A
USGS	50059000	2015-05-20	121.96	A
USGS	50059000	2015-05-21	121.88	A
USGS	50059000	2015-05-22	121.72	A
USGS	50059000	2015-05-23	121.56	A
USGS	50059000	2015-05-24	121.34	A
USGS	50059000	2015-05-25	121.16	A
USGS	50059000	2015-05-26	120.93	A
USGS	50059000	2015-05-27	121.14	A
USGS	50059000	2015-05-28	121.11	A
USGS	50059000	2015-05-29	121.04	A
USGS	50059000	2015-05-30	120.88	A
USGS	50059000	2015-05-31	120.76	A
USGS	50059000	2015-06-01	120.53	A
USGS	50059000	2015-06-02	120.41	A
USGS	50059000	2015-06-03	120.18	A
USGS	50059000	2015-06-04	120.01	A
USGS	50059000	2015-06-05	119.77	A
USGS	50059000	2015-06-06	119.57	A
USGS	50059000	2015-06-07	119.28	A
USGS	50059000	2015-06-08	119.00	A
USGS	50059000	2015-06-09	118.69	A
USGS	50059000	2015-06-10	118.75	A
USGS	50059000	2015-06-11	118.75	A
USGS	50059000	2015-06-12	118.54	A
USGS	50059000	2015-06-13	118.59	A
USGS	50059000	2015-06-14	118.43	A
USGS	50059000	2015-06-15	118.12	A
USGS	50059000	2015-06-16	118.10	A
USGS	50059000	2015-06-17	117.96	A
USGS	50059000	2015-06-18	117.65	A
USGS	50059000	2015-06-19	117.79	A
USGS	50059000	2015-06-20	117.69	A
USGS	50059000	2015-06-21	117.32	A
USGS	50059000	2015-06-22	117.38	A
USGS	50059000	2015-06-23	117.41	A
USGS	50059000	2015-06-24	117.11	A
USGS	50059000	2015-06-25	117.20	A
USGS	50059000	2015-06-26	117.10	A
USGS	50059000	2015-06-27	116.78	A
USGS	50059000	2015-06-28	116.80	A
USGS	50059000	2015-06-29	116.55	A
USGS	50059000	2015-06-30	116.26	A
USGS	50059000	2015-07-01	117.20	A
USGS	50059000	2015-07-02	117.70	A
USGS	50059000	2015-07-03	117.55	A
USGS	50059000	2015-07-04	117.63	A
USGS	50059000	2015-07-05	117.47	A
USGS	50059000	2015-07-06	117.16	A
USGS	50059000	2015-07-07	117.12	A
USGS	50059000	2015-07-08	116.89	A
USGS	50059000	2015-07-09	116.43	A
USGS	50059000	2015-07-10	116.37	A
USGS	50059000	2015-07-11	116.16	A
USGS	50059000	2015-07-12	116.16	A
USGS	50059000	2015-07-13	117.08	A
USGS	50059000	2015-07-14	117.13	A
USGS	50059000	2015-07-15	116.85	A
USGS	50059000	2015-07-16	116.77	A
USGS	50059000	2015-07-17	116.79	A
USGS	50059000	2015-07-18	116.57	A
USGS	50059000	2015-07-19	116.60	A
USGS	50059000	2015-07-20	116.41	A
USGS	50059000	2015-07-21	116.05	A
USGS	50059000	2015-07-22	116.08	A
USGS	50059000	2015-07-23	116.04	A
USGS	50059000	2015-07-24	115.63	A
USGS	50059000	2015-07-25	115.54	A
USGS	50059000	2015-07-26	115.33	A
USGS	50059000	2015-07-27	114.84	A
USGS	50059000	2015-07-28	114.66	A
USGS	50059000	2015-07-29	114.42	A
USGS	50059000	2015-07-30	113.88	A
USGS	50059000	2015-07-31	113.63	A
USGS	50059000	2015-08-01	113.42	A
USGS	50059000	2015-08-02	112.91	A
USGS	50059000	2015-08-03	112.68	A
USGS	50059000	2015-08-04	112.50	A
USGS	50059000	2015-08-05	111.89	A
USGS	50059000	2015-08-06	111.76	A
USGS	50059000	2015-08-07	111.64	A
USGS	50059000	2015-08-08	111.30	A
USGS	50059000	2015-08-09	111.10	A
USGS	50059000	2015-08-10	110.98	A
USGS	50059000	2015-08-11	110.33	A
USGS	50059000	2015-08-12	109.52	A
USGS	50059000	2015-08-13	109.35	A
USGS	50059000	2015-08-14	109.58	A
USGS	50059000	2015-08-15	109.19	A
USGS	50059000	2015-08-16	109.84	A
USGS	50059000	2015-08-17	111.43	A
USGS	50059000	2015-08-18	111.51	A
USGS	50059000	2015-08-19	111.12	A
USGS	50059000	2015-08-20	111.16	A
USGS	50059000	2015-08-21	111.43	A
USGS	50059000	2015-08-22	111.24	A
USGS	50059000	2015-08-23	110.77	A
USGS	50059000	2015-08-24	110.76	A
USGS	50059000	2015-08-25	111.59	A
USGS	50059000	2015-08-26	112.17	A
USGS	50059000	2015-08-27	113.46	A
USGS	50059000	2015-08-28	119.80	A
USGS	50059000	2015-08-29	120.76	A
USGS	50059000	2015-08-30	120.91	A
USGS	50059000	2015-08-31	121.24	A
USGS	50059000	2015-09-01	121.95	A
USGS	50059000	2015-09-02	121.88	A
USGS	50059000	2015-09-03	122.07	A
USGS	50059000	2015-09-04	122.06	A
USGS	50059000	2015-09-05	121.87	A
USGS	50059000	2015-09-06	121.96	A
USGS	50059000	2015-09-07	121.93	A
USGS	50059000	2015-09-08	121.75	A
USGS	50059000	2015-09-09	121.75	A
USGS	50059000	2015-09-10	121.68	A
USGS	50059000	2015-09-11	121.54	A
USGS	50059000	2015-09-12	121.96	A
USGS	50059000	2015-09-13	123.79	A
USGS	50059000	2015-09-14	124.02	A
USGS	50059000	2015-09-15	124.70	A
USGS	50059000	2015-09-16	125.83	A
USGS	50059000	2015-09-17	126.34	A
USGS	50059000	2015-09-18	126.91	A
USGS	50059000	2015-09-19	127.19	A
USGS	50059000	2015-09-20	127.24	A
USGS	50059000	2015-09-21	127.25	A
USGS	50059000	2015-09-22	127.07	A
USGS	50059000	2015-09-23	126.83	A
USGS	50059000	2015-09-24	126.60	A
USGS	50059000	2015-09-25	126.34	A
USGS	50059000	2015-09-26	126.08	A
USGS	50059000	2015-09-27	125.78	A
USGS	50059000	2015-09-28	125.48	A
USGS	50059000	2015-09-29	125.15	A
USGS	50059000	2015-09-30	124.84	A
USGS	50059000	2015-10-01	124.51	A
USGS	50059000	2015-10-02	124.20	A
USGS	50059000	2015-10-03	124.77	A
USGS	50059000	2015-10-04	126.19	A
USGS	50059000	2015-10-05	126.20	A
USGS	50059000	2015-10-06	126.15	A
USGS	50059000	2015-10-07	125.93	A
USGS	50059000	2015-10-08	126.17	A
USGS	50059000	2015-10-09	126.50	A
USGS	50059000	2015-10-10	126.56	A
USGS	50059000	2015-10-11	126.47	A
USGS	50059000	2015-10-12	126.37	A
USGS	50059000	2015-10-13	126.28	A
USGS	50059000	2015-10-14	126.17	A
USGS	50059000	2015-10-15	126.72	A
USGS	50059000	2015-10-16	126.95	A
USGS	50059000	2015-10-17	127.33	A
USGS	50059000	2015-10-18	127.66	A
USGS	50059000	2015-10-19	128.75	A
USGS	50059000	2015-10-20	129.21	A
USGS	50059000	2015-10-21	129.14	A
USGS	50059000	2015-10-22	129.02	A
USGS	50059000	2015-10-23	129.05	A
USGS	50059000	2015-10-24	133.70	A
USGS	50059000	2015-10-25	133.77	A
USGS	50059000	2015-10-26	133.50	A
USGS	50059000	2015-10-27	134.19	A
USGS	50059000	2015-10-28	133.99	A
USGS	50059000	2015-10-29	133.99	A
USGS	50059000	2015-10-30	134.20	A
USGS	50059000	2015-10-31	134.38	A
USGS	50059000	2015-11-01	133.86	A
USGS	50059000	2015-11-02	134.04	A
USGS	50059000	2015-11-03	133.94	A
USGS	50059000	2015-11-04	134.44	A
USGS	50059000	2015-11-05	134.01	A
USGS	50059000	2015-11-06	134.28	A
USGS	50059000	2015-11-07	134.01	A
USGS	50059000	2015-11-08	133.98	A
USGS	50059000	2015-11-09	134.47	A
USGS	50059000	2015-11-10	133.64	A
USGS	50059000	2015-11-11	133.99	A
USGS	50059000	2015-11-12	134.42	A
USGS	50059000	2015-11-13	134.00	A
USGS	50059000	2015-11-14	134.30	A
USGS	50059000	2015-11-15	133.87	A
USGS	50059000	2015-11-16	134.28	A
USGS	50059000	2015-11-17	133.70	A
USGS	50059000	2015-11-18	134.23	A
USGS	50059000	2015-11-19	133.90	A
USGS	50059000	2015-11-20	134.22	A
USGS	50059000	2015-11-21	134.41	A
USGS	50059000	2015-11-22	134.04	A
USGS	50059000	2015-11-23	134.14	A
USGS	50059000	2015-11-24	134.21	A
USGS	50059000	2015-11-25	134.22	A
USGS	50059000	2015-11-26	134.21	A
USGS	50059000	2015-11-27	134.19	A
USGS	50059000	2015-11-28	134.43	A
USGS	50059000	2015-11-29	133.57	A
USGS	50059000	2015-11-30	134.30	A
USGS	50059000	2015-12-01	134.16	A
USGS	50059000	2015-12-02	133.97	A
USGS	50059000	2015-12-03	133.96	A
USGS	50059000	2015-12-04	134.40	A
USGS	50059000	2015-12-05	134.07	A
USGS	50059000	2015-12-06	134.13	A
USGS	50059000	2015-12-07	133.51	A
USGS	50059000	2015-12-08	134.13	A
USGS	50059000	2015-12-09	133.68	A
USGS	50059000	2015-12-10	134.14	A
USGS	50059000	2015-12-11	134.47	A
USGS	50059000	2015-12-12	133.91	A
USGS	50059000	2015-12-13	134.06	A
USGS	50059000	2015-12-14	134.21	A
USGS	50059000	2015-12-15	134.34	A
USGS	50059000	2015-12-16	134.45	A
USGS	50059000	2015-12-17	134.52	A
USGS	50059000	2015-12-18	134.55	A
USGS	50059000	2015-12-19	134.01	A
USGS	50059000	2015-12-20	134.18	A
USGS	50059000	2015-12-21	134.31	A
USGS	50059000	2015-12-22	134.40	A
USGS	50059000	2015-12-23	134.43	A
USGS	50059000	2015-12-24	134.50	A
USGS	50059000	2015-12-25	134.03	A
USGS	50059000	2015-12-26	134.20	A
USGS	50059000	2015-12-27	134.37	A
USGS	50059000	2015-12-28	133.90	A
USGS	50059000	2015-12-29	134.21	A
USGS	50059000	2015-12-30	134.33	A
USGS	50059000	2015-12-31	134.37	A
